Name,v_r(km/s),v_phi flipped
2MASS J00512646-1053170,-153.4395826,
2MASS J00524174-0902235,-240.6861969,
2MASS J00541965-0611555,41.09321278,
HE 0057-4541,-180.7872273,
BPS CS 22953-003,-254.503433,
BPS CS 22183-031,145.6542364,
2MASS J01165010-6307441,136.1959929,
2MASS J01202234-5425582,159.9459402,
2MASS J01213447-2528002,-49.29813831,
2MASS J01293113-1600454,-114.3149637,
2MASS J01311599-4016510,-107.5957992,
2MASS J01321981-3040512,-58.5866692,
2MASS J01371888-1729037,-163.6789825,
2MASS J01373857-2618131,-64.24895082,
2MASS J01425422-5032488,-78.76198914,
2MASS J01425445-0904162,-82.80375687,
2MASS J01493760-4551222,218.0375572,
2MASS J01530024-3417360,-186.4173168,
2MASS J01553180-4919420,226.4307745,
2MASS J01555066-6400155,16.77946349,
2MASS J01565634-1402108,149.7934854,
BPS CS 22958-037,191.9659901,
2MASS J02031860-7930291,-51.99445429,
2MASS J02070641-5009166,142.4988849,
BPS CS 22958-052,142.4065254,
2MASS J02165716-7547064,-152.7303839,
2MASS J02230804-3129531,-116.6988642,
2MASS J02265832-0749596,48.54434029,
2MASS J02274104-0519230,-138.9726137,
2MASS J02355867-6745520,47.79398336,
2MASS J02413897-0427349,-199.4459991,
2MASS J02462013-1518419,257.6774792,
SMSS J024858.41-684306.4,-207.7686185,
2MASS J02500719-5145148,-80.65563793,
2MASS J02515281-3717316,-43.32436662,
2MASS J02570028-3024374,22.02345945,
BPS CS 31078-018,88.63591601,
HE 0300-0751,163.2734542,
2MASS J03071478-0534554,-70.30314128,
2MASS J03073894-0502491,-141.2122017,
2MASS J03084611-4747083,-216.9859035,
2MASS J03133726-1020553,187.7300793,
2MASS J03154102-7626329,141.7442646,
BPS CS 22968-026,-191.8826777,
2MASS J03210882-3944213,-85.94571466,
2MASS J03270229+0132322,-28.5391405,
BPS CS 29526-110,-88.06787123,
HE 0328-1047,-121.0889971,
HE 0337-5127,32.58291315,
2MASS J03422816-6500355,-56.20829856,
SMSS J034249.53-284216.0,29.98219573,
HE 0341-4024,126.5756897,
2MASS J03434624-0924169,213.3349841,
BPS CS 29529-054,-91.07484243,
2MASS J04012191-2635058,-125.309485,
2MASS J04121388-1205050,-16.39900257,
BPS CS 22186-005,171.6128285,
BPS CS 22186-002,195.6065814,
2MASS J04182158-2323391,-112.0515678,
2MASS J04192966-0517491,74.76507657,
BPS CS 22182-033,146.3008569,
HE 0420+0123a,-56.92636019,
BPS CS 22186-025,-195.7776642,
2MASS J04245677-6500173,34.77435182,
2MASS J04263084-4058516,-51.07255309,
HE 0430-4901,86.16207342,
2MASS J04315411-0632100,20.9280586,
HE 0432-0923,-95.69358707,
HE 0442-1234,32.32967304,
BPS CS 22191-029,103.1463439,
2MASS J04520910-6209121,85.13957376,
2MASS J04530168-2437144,54.01370146,
2MASS J04565146-3115427,57.61420585,
2MASS J05030025-7601462,120.7528373,
SMSS J051008.62-372019.8,46.01110144,
HE 0512-3835,94.72442243,
HE 0516-3820,24.56524964,
HE 0524-2055,117.0416738,
2MASS J05311779-5810048,127.0038956,
HE 0534-4615,195.7616397,
2MASS J05381700-7516207,84.91622024,
2MASS J05383296-5904280,61.12766558,
HE 0538-4515,23.93840188,
2MASS J05521578-3953184,-76.14673926,
2MASS J05564771-6639054,184.3309954,
2MASS J06090353-7122260,73.3745125,
2MASS J06195001-5312114,-62.57468342,
SMSS J062609.83-590503.2,-113.1257084,
2MASS J06290787-6709523,6.081030527,
2MASS J06320130-2026538,65.13946248,
2MASS J06332771-3519240,-215.8945925,
SMSS J063447.15-622355.0,-266.6641048,
2MASS J06392518-7414056,-14.33804214,
2MASS J06401317-3540444,-70.65937175,
2MASS J07052028-3343242,293.1546735,
2MASS J07150266-0154092,-21.60074716,
2MASS J07161594-5135248,34.57914128,
2MASS J07202253-3358518,-182.4679459,
2MASS J07250021-7022038,-142.0594229,
2MASS J07352232-4425010,-204.8183057,
2MASS J07393021-5548171,114.7944512,
BD-01:1792,-151.1685931,
2MASS J07411443-4339360,237.1947045,
2MASS J07501424-4123454,284.152476,
2MASS J08015897-5752032,261.9450248,
2MASS J08032084-5856521,-28.32971853,
2MASS J08134364-2332528,0.480247293,
2MASS J08155667-2204105,81.44028187,
2MASS J08393460-2122069,-144.1732868,
2MASS J08594093-1415151,192.0746206,
2MASS J09185890-2311511,316.2902198,
2MASS J09255655-3450373,-136.400304,
2MASS J09261133-1526232,292.9798075,
2MASS J09284944-0738585,68.59083328,
2MASS J09364069-2038386,-127.2780663,
2MASS J09463483-0626532,125.8016524,
2MASS J09544277+5246414,130.9525554,
2MASS J09574607-3923072,80.35004819,
2MASS J09580181-1446137,132.995002,
2MASS J10025125-4331098,0.03932934,
2MASS J10044858-2706500,-66.20729715,
2MASS J10063414-7030212,57.21406762,
2MASS J10082492-2314124,104.1345558,
BPS BS 15621-047,-58.65088676,
2MASS J10121964-3221347,223.5517872,
2MASS J10191573-1924464,-1.407387817,
2MASS J10194932-4900584,275.0789706,
2MASS J10223779-3400209,66.70932817,
2MASS J10302845-7543299,-126.9033687,
2MASS J10345348-1117221,101.3814177,
2MASS J10362687-3746174,-90.90564041,
2MASS J10401894-4106124,30.37824432,
HE 1044-2509,-74.65964343,
2MASS J10492192-1154173,38.21485279,
2MASS J10513692-2115466,13.15685159,
SMSS J105320.99-435300.1,-306.2910685,
J1054+0528,81.80368724,
2MASS J10594136-2052253,-76.14638922,
2MASS J11014865-3749526,-170.5484066,
2MASS J11165400-7250160,-76.8866606,
LAMOST J112456.61+453531.,-41.29922526,
2MASS J11301705-1449325,80.25984723,
2MASS J11303693+0224037,106.9947215,
2MASS J11370170-5401298,-115.0386678,
2MASS J11404726-0833030,-1.06219385,
2MASS J11404944-1615396,161.8384136,
BD+26:2251,326.0857065,
2MASS J11444086-0409511,74.28463142,
2MASS J11444480-1128167,217.0532434,
2MASS J11463882-0422395,23.3160345,
2MASS J11471027+0341265,237.765652,
2MASS J11472988-0521444,309.4206359,
2MASS J11510227-6940416,-47.3818538,
HD 103095,-291.5424622,
2MASS J11543613-0133450,378.8028364,
2MASS J12044314-2911051,187.6290848,
2MASS J12045624-0759232,233.307763,
2MASS J12070990-3653243,46.44418792,
