Name,j_phi(kpc s^(-1)),energy_mean(km^2 s^(-2))
Gaia DR2 2233912206910720000,308.8928489,-72789.34329
2MASS J19584033+0430396,548.7582414,-100714.4682
SMSS J195931.70-643529.3,220.4679591,-156288.3986
2MASS J20000364-3301351,261.7617039,-191322.4598
2MASS J20005766-2541488,-513.4832276,-168611.7264
2MASS J20050670-3057445,918.630255,-164194.0823
2MASS J20080083-2759265,147.4350314,-199248.2048
2MASS J20093393-3410273,660.3608422,-152096.8506
2MASS J20102782-0826556,356.5399135,-160995.3087
2MASS J20103193-3558546,-187.8793855,-180904.1998
2MASS J20194310-3158163,-230.4364522,-177203.7702
BPS CS 22943-132,-1348.398328,-160462.6894
2MASS J20233743-1659533,117.0855776,-187464.9235
2MASS J20374042-5520500,-190.6847809,-183670.7125
2MASS J20384318-0023327,1322.657527,-115118.0015
2MASS J20385893-0252115,-70.89454843,-182843.2649
2MASS J20411424-4654315,-257.6103373,-188613.1731
BPS CS 22955-174,-554.5287707,-186160.1946
2MASS J20435776-4408037,-813.0127223,-182704.6389
2MASS J20453454-1431151,-530.1544902,-187026.4076
2MASS J20492765-5124440,-359.5521271,-190523.7429
2MASS J20504869-3355289,-65.33503371,-186184.1816
2MASS J20514971-6158008,-1243.379573,-165870.3217
BPS CS 22940-121,-80.81151789,-178288.9596
2MASS J20554594-3155159,260.5288759,-182196.5011
2MASS J20584918-0354340,33.48351892,-187257.6592
2MASS J21003824-0539171,-514.8782259,-185223.4665
2MASS J21055865-4919336,500.9753762,-162048.0345
2MASS J21063474-4957500,761.4471037,-145898.1818
2MASS J21064294-6828266,-898.4026121,-171596.6185
2MASS J21091825-1310062,75.29199905,-184217.3236
2MASS J21095804-0945400,-857.7577774,-179561.0767
2MASS J21162185-0213420,-1284.043944,-170742.0073
2MASS J21220020-0820333,-420.1157607,-183887.6226
2MASS J21224590-4641030,-432.7054161,-172703.6842
BD-03:5215,87.95649101,-169464.7808
HE 2134+0001,-1791.635627,-154236.7874
2MASS J21462219-0512324,396.2418018,-165055.1233
G 214-1,-894.3074471,-167618.8208
BPS CS 22951-059,-1571.68433,-151688.2604
BPS CS 29493-062,-1729.493945,-160379.4892
HE 2155+0136,343.1194532,-179365.6394
HE 2154-2838,577.919007,-174306.2634
HE 2206-2245,658.2085958,-173780.4701
BPS CS 22886-012,-1020.989404,-176610.4203
2MASS J22161170-5319492,-392.5407077,-176577.8421
2MASS J22163596+0246171,-245.4657809,-179817.2533
BPS CS 22892-052,-345.3761096,-158318.2084
2MASS J22182082-3827554,-903.222248,-137855.0711
2MASS J22190836-2333467,-910.2675684,-169309.061
2MASS J22220344-8024592,-203.239075,-168352.5345
BPS CS 22886-043,-546.1088201,-172664.6425
BPS CS 22960-064,-1026.651597,-170373.8548
HE 2224+0143,-498.7400377,-181368.208
BPS CS 22875-029,-539.7042239,-159746.6695
BPS CS 29491-069,1350.590475,-116860.9078
HE 2229-4153,269.545392,-169124.4713
2MASS J22345447-6605172,-1094.616139,-171019.033
2MASS J22373316-4341181,241.36421,-182792.3233
HE 2242-1930,-1703.60189,-138742.1562
HE 2244-1503,-2645.3223,-101317.9358
2MASS J22492756-2238289,112.4541599,-171937.4247
2MASS J22562536-0719562,-415.682652,-166467.5978
2MASS J23022289-6833233,-392.4961123,-179463.5971
HE 2301-4024,1373.659315,-116377.5733
2MASS J23060975-6107368,421.4279627,-171040.4386
2MASS J23100319-7702165,-1036.7011,-155590.3506
BPS CS 29513-003,460.400524,-170768.6111
BPS CS 22945-017,-1037.56809,-167429.5265
2MASS J23242766-2728055,234.5942485,-175464.2188
2MASS J23251897-0815539,678.6603085,-166951.0999
2MASS J23265258-0159248,547.0804487,-161431.9954
2MASS J23285061-0432368,-1099.28577,-168163.7417
HD 221170,-954.0698818,-167886.771
HE 2327-5642,530.9692915,-151800.843
BPS CS 22941-017,-1359.626096,-149083.047
