# Object,[Fe/H],[C/Fe]
SAGA_Scl_000038,-1.84,
SAGA_Scl_000038,-1.86,
SAGA_Scl_000038,-2.15,
SAGA_Scl_000038,-2.17,-0.93
SAGA_Scl_000038,-1.97,
SAGA_Scl_000038,-2.01,-0.75
SAGA_Scl_000039,-1.47,
SAGA_Scl_000039,-1.41,
SAGA_Scl_000039,-1.39,
SAGA_Scl_000039,-1.41,
SAGA_Scl_000039,-1.27,
SAGA_Scl_000039,-1.35,-1.13
SAGA_Scl_000042,-2.06,
SAGA_Scl_000042,-2.73,-0.12
SAGA_Scl_000042,-2.45,
SAGA_Scl_000043,-2.21,
SAGA_Scl_000043,-1.96,
SAGA_Scl_000043,-2.43,-0.75
SAGA_Scl_000043,-1.94,
SAGA_Scl_000043,-1.96,
SAGA_Scl_000043,-2.26,
SAGA_Scl_000043,-2.41,
SAGA_Scl_000045,-1.74,
SAGA_Scl_000045,-1.71,
SAGA_Scl_000045,-1.84,-0.98
SAGA_Scl_000045,-1.69,
SAGA_Scl_000045,-1.71,
SAGA_Scl_000045,-1.92,-0.75
SAGA_Scl_000045,-1.68,
SAGA_Scl_000045,-1.83,
SAGA_Scl_000046,-1.17,
SAGA_Scl_000046,-1.32,
SAGA_Scl_000046,-1.31,-0.68
SAGA_Scl_000046,-1.31,
SAGA_Scl_000046,-1.32,
SAGA_Scl_000046,-1.11,
SAGA_Scl_000046,-1.3,
SAGA_Scl_000049,-1.23,
SAGA_Scl_000049,-0.93,
SAGA_Scl_000049,-1.19,-1.08
SAGA_Scl_000049,-0.91,
SAGA_Scl_000049,-0.93,
SAGA_Scl_000049,-0.96,
SAGA_Scl_000049,-1.17,
SAGA_Scl_000052,-1.83,
SAGA_Scl_000052,-1.82,
SAGA_Scl_000052,-1.83,
SAGA_Scl_000052,-2.12,-0.56
SAGA_Scl_000057,-1.63,
SAGA_Scl_000057,-1.85,
SAGA_Scl_000057,-1.67,-1.29
SAGA_Scl_000057,-1.83,
SAGA_Scl_000057,-1.85,
SAGA_Scl_000057,-1.46,
SAGA_Scl_000058,-2.44,-0.88
SAGA_Scl_000058,-2.1,
SAGA_Scl_000058,-2.83,0.48
SAGA_Scl_000060,-1.35,
SAGA_Scl_000060,-1.33,
SAGA_Scl_000060,-1.43,-0.58
SAGA_Scl_000060,-1.31,
SAGA_Scl_000060,-1.33,
SAGA_Scl_000060,-1.24,
SAGA_Scl_000060,-1.42,
SAGA_Scl_000062,-1.3,
SAGA_Scl_000062,-1.44,-0.68
SAGA_Scl_000062,-1.3,
SAGA_Scl_000062,-1.32,
SAGA_Scl_000062,-1.2,
SAGA_Scl_000062,-1.42,
SAGA_Scl_000063,-1.66,
SAGA_Scl_000063,-1.67,-1.01
SAGA_Scl_000064,-1.12,
SAGA_Scl_000064,-1.17,-0.81
SAGA_Scl_000064,-0.98,
SAGA_Scl_000064,-0.94,
SAGA_Scl_000064,-1.15,
SAGA_Scl_000065,-1.21,
SAGA_Scl_000065,-1.2,
SAGA_Scl_000065,-1.21,
SAGA_Scl_000065,-1.54,-0.58
SAGA_Scl_000066,-1.2,
SAGA_Scl_000066,-1.24,
SAGA_Scl_000066,-1.29,-1.05
SAGA_Scl_000066,-1.22,
SAGA_Scl_000066,-1.24,
SAGA_Scl_000066,-1.09,
SAGA_Scl_000066,-1.27,
SAGA_Scl_000067,-1.24,
SAGA_Scl_000067,-1.3,
SAGA_Scl_000067,-1.34,-0.96
SAGA_Scl_000067,-1.28,
SAGA_Scl_000067,-1.3,
SAGA_Scl_000067,-1.08,
SAGA_Scl_000067,-1.32,
SAGA_Scl_000068,-1.45,
SAGA_Scl_000068,-1.5,
SAGA_Scl_000068,-1.51,-1.18
SAGA_Scl_000068,-1.48,
SAGA_Scl_000068,-1.5,
SAGA_Scl_000068,-1.38,
SAGA_Scl_000068,-1.49,
SAGA_Scl_000070,-2.26,
SAGA_Scl_000070,-2.24,
SAGA_Scl_000070,-2.26,
SAGA_Scl_000070,-2.66,-0.22
SAGA_Scl_000070,-2.09,-1.1
SAGA_Scl_000072,-1.54,
SAGA_Scl_000072,-1.57,
SAGA_Scl_000072,-1.66,-0.67
SAGA_Scl_000072,-1.55,
SAGA_Scl_000072,-1.57,
SAGA_Scl_000072,-1.78,-0.22
SAGA_Scl_000072,-1.51,
SAGA_Scl_000072,-1.65,
SAGA_Scl_000073,-1.1,
SAGA_Scl_000073,-1,
SAGA_Scl_000073,-1.21,-0.75
SAGA_Scl_000073,-0.98,
SAGA_Scl_000073,-1,
SAGA_Scl_000073,-1.45,-0.5
SAGA_Scl_000073,-0.99,
SAGA_Scl_000073,-1.19,
SAGA_Scl_000075,-1.56,
SAGA_Scl_000075,-1.54,
SAGA_Scl_000075,-1.41,-0.9
SAGA_Scl_000083,-2.47,
SAGA_Scl_000083,-2.41,
SAGA_Scl_000083,-2.39,
SAGA_Scl_000083,-2.41,
SAGA_Scl_000083,-2.64,-0.28
SAGA_Scl_000083,-2.49,
SAGA_Scl_000086,-2.31,
SAGA_Scl_000086,-2.11,
