# Object	Reference	[Fe/H]	[C/Fe]
SAGA_UMi_000201	G.E.Duggan+,ApJ, 869, 50, 2018	-2.3	
SAGA_UMi_000204	E.N.Kirby+,ApJ, 801, 125, 2015	-2.07	-0.73
SAGA_UMi_000204	E.N.Kirby+,ApJS, 191, 352, 2010	-1.9	
SAGA_UMi_000204	G.E.Duggan+,ApJ, 869, 50, 2018	-2.03	
SAGA_UMi_000207	E.N.Kirby+,ApJ, 801, 125, 2015	-2.22	-0.38
SAGA_UMi_000207	E.N.Kirby+,ApJS, 191, 352, 2010	-2.08	
SAGA_UMi_000207	G.E.Duggan+,ApJ, 869, 50, 2018	-2.23	
SAGA_UMi_000208	E.N.Kirby+,ApJ, 801, 125, 2015	-1.96	-0.54
SAGA_UMi_000208	E.N.Kirby+,ApJS, 191, 352, 2010	-1.81	
SAGA_UMi_000208	G.E.Duggan+,ApJ, 869, 50, 2018	-1.95	
SAGA_UMi_000210	E.N.Kirby+,ApJ, 801, 125, 2015	-2.51	1.19
SAGA_UMi_000210	E.N.Kirby+,ApJS, 191, 352, 2010	-2.33	
SAGA_UMi_000211	E.N.Kirby+,ApJ, 801, 125, 2015	-2.39	-0.02
SAGA_UMi_000211	E.N.Kirby+,ApJS, 191, 352, 2010	-2.21	
SAGA_UMi_000215	E.N.Kirby+,ApJ, 801, 125, 2015	-1.83	-0.36
SAGA_UMi_000215	E.N.Kirby+,ApJS, 191, 352, 2010	-1.68	
SAGA_UMi_000215	G.E.Duggan+,ApJ, 869, 50, 2018	-1.81	
SAGA_UMi_000217	E.N.Kirby+,ApJ, 801, 125, 2015	-2.93	-0.08
SAGA_UMi_000217	E.N.Kirby+,ApJS, 191, 352, 2010	-2.76	
SAGA_UMi_000217	G.E.Duggan+,ApJ, 869, 50, 2018	-2.92	
SAGA_UMi_000219	E.N.Kirby+,ApJ, 801, 125, 2015	-2.29	-0.42
SAGA_UMi_000219	E.N.Kirby+,ApJS, 191, 352, 2010	-2.14	
SAGA_UMi_000219	G.E.Duggan+,ApJ, 869, 50, 2018	-2.28	
SAGA_UMi_000220	E.N.Kirby+,ApJ, 801, 125, 2015	-2.12	-0.85
SAGA_UMi_000220	J.G.Cohen+,ApJ, 719, 931, 2010	-1.81	-0.56
SAGA_UMi_000220	E.N.Kirby+,ApJS, 191, 352, 2010	-1.92	
SAGA_UMi_000220	G.E.Duggan+,ApJ, 869, 50, 2018	-2.09	
SAGA_UMi_000221	J.G.Cohen+,ApJ, 719, 931, 2010	-2.13	-0.33
SAGA_UMi_000222	J.G.Cohen+,ApJ, 719, 931, 2010	-1.96	-0.61
